broadcast_id,timestamp,sender_id,location,broadcast_type,message_text,signal_strength,cross_check_status,label
BC-034,2026-07-22 08:20,Mini-Marv-03,CS Building Foyer,situation_report,"Cross-checked Marv Mail's latest CS Building Foyer report against current scout logs. Timestamp mismatch of over a day found.",57,disputed,genuine
BC-035,2026-07-22 11:05,New Meridian,Guild Village,all_clear,"Guild Village confirmed clear. Outpost-Delta concerns overstated.",87,disputed,peacock_spoofed
BC-036,2026-07-22 12:00,Mini-Marv-01,Guild Village,emergency,"Still no contact with Outpost-Delta after repeated attempts. New Meridian's all-clear contradicts the silence and cannot be confirmed.",,not_checked,genuine
BC-037,2026-07-23 06:30,Outpost-Epsilon,Physics Lawn,emergency,"Peacock flock breaching Physics Lawn treeline. Requesting backup now.",45,not_checked,genuine
BC-038,2026-07-23 09:10,Marv Mail,Old Commerce Building,situation_report,,64,verified,unknown
BC-039,2026-07-24 07:45,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden calm this morning, minor debris cleared from path.",61,verified,genuine
BC-040,2026-07-24 13:20,New Meridian,Robotics Workshop,all_clear,"Robotics Workshop area fully clear for supply runs.",94,disputed,peacock_spoofed
BC-041,2026-07-25 15:00,Outpost-Beta,Robotics Workshop,warning,"Robotics Workshop hit by peacock swarm overnight. New Meridian's all-clear yesterday was false.",46,verified,genuine
BC-042,2026-07-25 17:30,Mini-Marv-02,Physics Lawn,situation_report,"Followed up on Outpost-Epsilon's emergency call from two days ago - no relief ever arrived, damage confirms the original report.",53,verified,genuine
BC-043,2026-07-26 07:00,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden quiet, gardeners spotted no peacocks this morning.",60,verified,genuine
BC-044,2026-07-26 12:00,Outpost-Beta,Robotics Workshop,supply_request,"Requesting bolts and casing screws, stock running low at Robotics Workshop.",51,unconfirmed,genuine
BC-045,2026-07-26 15:00,Outpost-Epsilon,Physics Lawn,routine_check,Physics Lawn calm since yesterday's incident. Repairs underway.,46,verified,genuine
BC-046,2026-07-26 19:00,New Meridian,Engineering Quad,all_clear,Engineering Quad fully secured. Convoys cleared to pass without escort.,90,disputed,peacock_spoofed
BC-047,2026-07-28 01:00,Outpost-Alpha,Engineering Quad,warning,Convoy attacked at Engineering Quad. New Meridian's all-clear yesterday was false.,59,verified,genuine
BC-048,2026-07-28 07:00,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building patrol notes unchanged, route still considered safe.",67,verified,outdated
BC-049,2026-07-28 17:00,Mini-Marv-03,Old Commerce Building,situation_report,Cross-checked Marv Mail's Old Commerce Building report. Scout logs show a collapse in that sector two days prior.,55,disputed,genuine
BC-050,2026-07-29 01:00,Outpost-Beta,Robotics Workshop,routine_check,Robotics Workshop steady. New parts installed.,49,verified,genuine
BC-051,2026-07-29 10:00,Outpost-Epsilon,North Parking Structure,emergency,Peacocks breaching North Parking Structure perimeter fence. Requesting immediate backup.,43,not_checked,genuine
BC-052,2026-07-29 10:18,Outpost-Epsilon,North Parking Structure,emergency,"Repeat: North Parking Structure overrun, retreating to secondary position.",40,not_checked,genuine
BC-053,2026-07-29 12:48,New Meridian,North Parking Structure,all_clear,"North Parking Structure situation resolved. All clear, proceed as normal.",91,disputed,peacock_spoofed
BC-054,2026-07-30 10:48,Mini-Marv-02,North Parking Structure,situation_report,"Arrived North Parking Structure late. Damage matches Outpost-Epsilon's emergency calls, not New Meridian's all-clear.",53,verified,genuine
BC-055,2026-07-30 16:48,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden holding, minor foliage overgrowth noted.",58,verified,genuine
BC-056,2026-07-31 01:48,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer reported secure, based on last known patrol route.",68,verified,outdated
BC-057,2026-07-31 06:48,New Meridian,Bookstore Plaza,all_clear,Bookstore Plaza clear for all convoy traffic.,93,disputed,peacock_spoofed
BC-058,2026-08-01 10:48,Outpost-Beta,Bookstore Plaza,warning,Bookstore Plaza convoy ambushed. Yesterday's New Meridian all-clear proven false.,47,verified,genuine
BC-059,2026-08-01 14:48,Mini-Marv-01,Bookstore Plaza,situation_report,Cross-checked Bookstore Plaza incident against New Meridian's prior broadcast. Signal profile matches known spoofing pattern.,56,disputed,genuine
BC-060,2026-08-01 21:48,Outpost-Epsilon,Physics Lawn,supply_request,Requesting medical supplies for minor injuries sustained at Physics Lawn.,44,unconfirmed,genuine
BC-061,2026-08-02 03:48,Outpost-Beta,Robotics Workshop,routine_check,"Robotics Workshop quiet overnight, no peacock sightings.",50,verified,genuine
BC-062,2026-08-02 13:48,Mini-Marv-01,Rec Center Courtyard,emergency,"Investigating reports of disturbance at Rec Center Courtyard, signal degraded en route.",,unconfirmed,genuine
BC-063,2026-08-02 18:48,Marv Mail,Old Commerce Building,situation_report,,63,verified,unknown
BC-064,2026-08-03 03:48,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer remains as last documented, no changes to report.",66,verified,outdated
BC-065,2026-08-03 14:48,Mini-Marv-03,CS Building Foyer,situation_report,Marv Mail's CS Building Foyer report contradicted by fresh scout sighting of peacock activity.,54,disputed,genuine
BC-066,2026-08-03 20:48,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden stable, evening patrol complete.",57,verified,genuine
BC-067,2026-08-04 04:48,Outpost-Epsilon,Physics Lawn,routine_check,"Physics Lawn steady, fence repairs finished.",47,verified,genuine
BC-068,2026-08-04 09:48,New Meridian,Founders Walk,all_clear,"Founders Walk fully clear, convoys may resume normal routes.",89,disputed,peacock_spoofed
BC-069,2026-08-05 16:48,Outpost-Alpha,Founders Walk,warning,Founders Walk convoy lost overnight. New Meridian's all-clear was false.,60,verified,genuine
BC-070,2026-08-05 22:48,Outpost-Beta,Robotics Workshop,supply_request,"Requesting replacement antenna, current one damaged by peacock strike.",48,unconfirmed,genuine
BC-071,2026-08-06 07:48,Marv Mail,Old Commerce Building,situation_report,Old Commerce Building sector reported secure based on prior notes.,65,verified,outdated
BC-072,2026-08-06 14:48,Outpost-Gamma,Rec Center Courtyard,emergency,"Peacock swarm breaching Rec Center Courtyard, requesting reinforcements immediately.",42,not_checked,genuine
BC-073,2026-08-06 15:12,Outpost-Gamma,Rec Center Courtyard,emergency,"Repeat: Rec Center Courtyard perimeter breached, falling back.",39,not_checked,genuine
BC-074,2026-08-06 17:54,New Meridian,Rec Center Courtyard,all_clear,"Rec Center Courtyard situation resolved, all clear now.",92,disputed,peacock_spoofed
BC-075,2026-08-07 16:54,Mini-Marv-02,Rec Center Courtyard,situation_report,"Arrived Rec Center Courtyard, damage confirms Outpost-Gamma's emergency calls rather than New Meridian's all-clear.",52,verified,genuine
BC-076,2026-08-07 22:54,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden calm, no new peacock signs.",59,verified,genuine
BC-077,2026-08-08 05:54,Outpost-Epsilon,Physics Lawn,routine_check,"Physics Lawn quiet, supply cache restocked.",45,verified,genuine
BC-078,2026-08-08 13:54,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer secure per last patrol, no updates since.",70,verified,outdated
BC-079,2026-08-08 23:54,Mini-Marv-01,CS Building Foyer,situation_report,Marv Mail's CS Building Foyer report flagged - timestamp shows patrol log is several days stale.,58,disputed,genuine
BC-080,2026-08-09 05:54,New Meridian,Guild Village,all_clear,"Guild Village remains clear, no further concern warranted.",86,disputed,peacock_spoofed
BC-081,2026-08-10 08:54,Mini-Marv-01,Guild Village,warning,Guild Village convoy scout found signs of struggle. New Meridian's repeated all-clears here do not match ground conditions.,55,verified,genuine
BC-082,2026-08-10 14:54,Outpost-Beta,Robotics Workshop,routine_check,"Robotics Workshop quiet, minor cleanup ongoing.",52,verified,genuine
BC-083,2026-08-10 22:54,Outpost-Alpha,Sunken Garden,routine_check,Sunken Garden unremarkable overnight.,61,verified,genuine
BC-084,2026-08-11 03:54,New Meridian,Hackett Hall Path,all_clear,"Hackett Hall Path clear again, convoys resume normal schedule.",88,disputed,peacock_spoofed
BC-085,2026-08-12 08:54,Outpost-Beta,Hackett Hall Path,warning,Hackett Hall Path convoy hit again. Same false all-clear pattern as before from New Meridian.,48,verified,genuine
BC-086,2026-08-12 14:54,Outpost-Epsilon,Physics Lawn,supply_request,Requesting fuel cells for patrol drones at Physics Lawn.,43,unconfirmed,genuine
BC-087,2026-08-12 22:54,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building unchanged, relying on earlier patrol notes.",64,verified,outdated
BC-088,2026-08-13 08:54,Mini-Marv-03,Old Commerce Building,situation_report,Marv Mail's Old Commerce Building report disputed - conditions on the ground shifted after recent rains washed out the noted route.,56,disputed,genuine
BC-089,2026-08-13 14:54,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden steady, light patrol only.",60,verified,genuine
BC-090,2026-08-13 21:54,Outpost-Beta,Robotics Workshop,routine_check,"Robotics Workshop nominal, supply crates arrived.",51,verified,genuine
BC-091,2026-08-14 02:54,New Meridian,Reynolds Court,all_clear,Reynolds Court declared safe once more for convoy travel.,95,disputed,peacock_spoofed
BC-092,2026-08-15 04:54,Outpost-Alpha,Reynolds Court,warning,"Reynolds Court convoy struck again, matching the pattern of New Meridian's repeated false all-clears.",62,verified,genuine
BC-093,2026-08-15 08:54,Mini-Marv-04,Reynolds Court,situation_report,"New to the relay network - confirmed Reynolds Court incident matches Outpost-Alpha's warning, not New Meridian's all-clear.",57,disputed,genuine
BC-094,2026-08-15 14:54,Outpost-Epsilon,Physics Lawn,routine_check,"Physics Lawn quiet, no incidents to report.",46,verified,genuine
BC-095,2026-08-15 22:54,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer status carried over from previous cycle, unchanged.",71,verified,outdated
BC-096,2026-08-16 07:54,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden final check of the cycle, all quiet.",59,verified,genuine
BC-097,2026-08-16 14:54,Outpost-Beta,Robotics Workshop,routine_check,"Robotics Workshop closing report, no anomalies detected.",50,verified,genuine
BC-098,2026-08-16 20:54,Outpost-Epsilon,Physics Lawn,supply_request,Requesting spare tarps for storm coverage at Physics Lawn.,44,unconfirmed,genuine
BC-099,2026-08-17 04:54,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building status unchanged from prior cycle, patrol overdue for renewal.",62,verified,outdated
BC-100,2026-08-17 14:54,Mini-Marv-02,Old Commerce Building,situation_report,Marv Mail's Old Commerce Building report disputed after fresh scouting revealed a new debris field blocking the route.,55,disputed,genuine
BC-101,2026-08-18 04:39,Outpost-Beta,Old Commerce Building,routine_check,Routine check at Old Commerce Building complete. All systems nominal.,66,verified,genuine
BC-102,2026-08-18 08:54,New Meridian,Guild Village,all_clear,"Guild Village clear for all convoy traffic, no further concern warranted.",88,disputed,peacock_spoofed
BC-103,2026-08-19 21:02,Outpost-Alpha,Guild Village,warning,Convoy lost at Guild Village. Same false all-clear pattern as before from New Meridian.,65,verified,genuine
BC-104,2026-08-20 04:23,Marv Mail,Founders Walk,situation_report,"Founders Walk unchanged, relying on earlier patrol notes.",64,verified,outdated
BC-105,2026-08-20 14:50,Outpost-Zeta,Maintenance Tunnel Entrance,routine_check,Nothing unusual to report at Maintenance Tunnel Entrance this pass.,53,verified,genuine
BC-106,2026-08-21 00:57,Outpost-Alpha,Reynolds Court,routine_check,"Reynolds Court status unchanged, low peacock sightings.",48,verified,genuine
BC-107,2026-08-21 09:46,Mini-Marv-05,CS Building Foyer,situation_report,Cross-checked Outpost-Zeta's report at CS Building Foyer with eyewitness scouts. Matches ground conditions.,56,verified,genuine
BC-108,2026-08-21 16:07,Outpost-Theta,Greenhouse Row,routine_check,Nothing unusual to report at Greenhouse Row this pass.,63,verified,genuine
BC-109,2026-08-21 20:29,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building status unchanged from prior cycle, patrol overdue for renewal.",61,verified,outdated
BC-110,2026-08-22 03:32,Outpost-Zeta,Founders Walk,emergency,Urgent: peacock swarm breaching Founders Walk perimeter. Need immediate reinforcement.,43,not_checked,genuine
BC-111,2026-08-22 03:52,Outpost-Zeta,Founders Walk,emergency,"Repeat: Founders Walk perimeter breached, falling back.",40,not_checked,genuine
BC-112,2026-08-22 07:16,New Meridian,Founders Walk,all_clear,Founders Walk fully secured. Convoys may proceed without escort.,89,disputed,peacock_spoofed
BC-113,2026-08-23 06:29,Mini-Marv-02,Founders Walk,situation_report,"Arrived Founders Walk late. Damage found consistent with the original emergency calls, not New Meridian's all-clear.",53,verified,genuine
BC-114,2026-08-23 18:24,Outpost-Theta,Greenhouse Row,supply_request,Need replacement fuel cells delivered to Greenhouse Row.,50,unconfirmed,genuine
BC-115,2026-08-24 04:36,Mini-Marv-03,Old Commerce Building,situation_report,"Verified Old Commerce Building conditions independently, consistent with Outpost-Alpha's broadcast.",54,verified,genuine
BC-116,2026-08-24 15:54,Outpost-Epsilon,Transit Hub Plaza,routine_check,"Patrol through Transit Hub Plaza uneventful, supplies holding.",65,unconfirmed,genuine
BC-117,2026-08-25 03:13,Outpost-Beta,Founders Walk,supply_request,Supply cache at Founders Walk needs restocking within the week.,44,unconfirmed,genuine
BC-118,2026-08-25 11:43,Outpost-Theta,Physics Lawn,routine_check,"Physics Lawn status unchanged, low peacock sightings.",63,unconfirmed,genuine
BC-119,2026-08-25 23:42,Outpost-Theta,Hackett Hall Path,supply_request,Requesting medical kit resupply near Hackett Hall Path.,42,unconfirmed,genuine
BC-120,2026-08-26 10:35,Marv Mail,Hackett Hall Path,situation_report,"Hackett Hall Path remains as previously reported, no changes to note.",72,verified,outdated
BC-121,2026-08-26 17:40,New Meridian,West Amphitheater,all_clear,West Amphitheater situation resolved. All clear now.,93,disputed,peacock_spoofed
BC-122,2026-08-27 23:42,Outpost-Theta,West Amphitheater,warning,Convoy ambushed near West Amphitheater despite yesterday's all-clear signal. New Meridian's report was false.,48,verified,genuine
BC-123,2026-08-28 07:59,Marv Mail,Physics Lawn,situation_report,"Physics Lawn status unchanged from prior cycle, patrol overdue for renewal.",61,verified,outdated
BC-124,2026-08-28 15:15,Mini-Marv-01,Physics Lawn,situation_report,Investigated Marv Mail's Physics Lawn claim - patrol log shows it predates a recent incident in that sector.,60,disputed,genuine
BC-125,2026-08-28 23:19,Mini-Marv-05,Reynolds Court,situation_report,Confirmed Outpost-Epsilon's Reynolds Court report through direct patrol observation.,53,verified,genuine
BC-126,2026-08-29 09:25,Outpost-Theta,Faculty Club Lawn,routine_check,"Faculty Club Lawn quiet this cycle, no peacock activity reported.",64,verified,genuine
BC-127,2026-08-29 14:19,New Meridian,Engineering Quad,all_clear,All clear at Engineering Quad. Proceed as normal.,88,disputed,peacock_spoofed
BC-128,2026-08-30 15:42,Outpost-Theta,Engineering Quad,warning,Convoy ambushed near Engineering Quad despite yesterday's all-clear signal. New Meridian's report was false.,47,verified,genuine
BC-129,2026-08-31 02:14,Marv Mail,Hackett Hall Path,situation_report,"Hackett Hall Path remains as previously reported, no changes to note.",70,verified,outdated
BC-130,2026-08-31 12:38,Mini-Marv-03,Hackett Hall Path,situation_report,Marv Mail's Hackett Hall Path report flagged; conditions there have shifted since it was filed.,55,disputed,genuine
BC-131,2026-08-31 22:40,Outpost-Epsilon,Maintenance Tunnel Entrance,emergency,Peacock flock breaching Maintenance Tunnel Entrance treeline. Requesting backup now.,42,not_checked,genuine
BC-132,2026-08-31 23:02,Outpost-Epsilon,Maintenance Tunnel Entrance,emergency,"Repeat: Maintenance Tunnel Entrance perimeter breached, falling back.",41,not_checked,genuine
BC-133,2026-09-01 01:54,New Meridian,Maintenance Tunnel Entrance,all_clear,Maintenance Tunnel Entrance declared safe once more for convoy travel.,94,disputed,peacock_spoofed
BC-134,2026-09-01 22:38,Mini-Marv-02,Maintenance Tunnel Entrance,situation_report,"Arrived Maintenance Tunnel Entrance late. Damage found consistent with the original emergency calls, not New Meridian's all-clear.",52,verified,genuine
BC-135,2026-09-02 07:04,Outpost-Beta,Transit Hub Plaza,routine_check,"Transit Hub Plaza quiet this cycle, no peacock activity reported.",47,verified,genuine
BC-136,2026-09-02 18:18,Outpost-Alpha,Prescott Court,routine_check,"Patrol through Prescott Court uneventful, supplies holding.",53,unconfirmed,genuine
BC-137,2026-09-02 23:22,Outpost-Theta,Transit Hub Plaza,routine_check,Morning sweep of Transit Hub Plaza shows no new activity.,52,unconfirmed,genuine
BC-138,2026-09-03 04:53,Mini-Marv-03,Reynolds Court,situation_report,"Verified Reynolds Court conditions independently, consistent with Outpost-Zeta's broadcast.",56,verified,genuine
BC-139,2026-09-03 14:43,New Meridian,Solar Array Field,all_clear,Solar Array Field fully secured. Convoys may proceed without escort.,85,disputed,peacock_spoofed
BC-140,2026-09-05 00:23,Outpost-Epsilon,Solar Array Field,warning,Convoy ambushed near Solar Array Field despite yesterday's all-clear signal. New Meridian's report was false.,52,verified,genuine
BC-141,2026-09-05 08:40,Outpost-Zeta,Hackett Hall Path,routine_check,"Hackett Hall Path steady, minor debris cleared from main path.",53,unconfirmed,genuine
BC-142,2026-09-05 20:04,Outpost-Theta,Founders Walk,routine_check,Routine check at Founders Walk complete. All systems nominal.,46,verified,genuine
BC-143,2026-09-06 07:28,Outpost-Zeta,Robotics Workshop,emergency,"Investigating disturbance reports near Robotics Workshop, signal degraded en route.",,unconfirmed,genuine
BC-144,2026-09-06 13:11,New Meridian,Bookstore Plaza,all_clear,Bookstore Plaza fully secured. Convoys may proceed without escort.,87,disputed,peacock_spoofed
BC-145,2026-09-07 22:17,Outpost-Zeta,Bookstore Plaza,warning,"Bookstore Plaza hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",59,verified,genuine
BC-146,2026-09-08 07:51,Outpost-Theta,Admin Building Steps,routine_check,Morning sweep of Admin Building Steps shows no new activity.,49,verified,genuine
BC-147,2026-09-08 19:36,Outpost-Theta,Transit Hub Plaza,routine_check,"Transit Hub Plaza quiet this cycle, no peacock activity reported.",68,verified,genuine
BC-148,2026-09-09 04:16,Outpost-Theta,Chemistry Annex,routine_check,"Chemistry Annex steady, minor debris cleared from main path.",46,verified,genuine
BC-149,2026-09-09 08:49,Mini-Marv-04,Guild Village,situation_report,Cross-checked Outpost-Beta's report at Guild Village with eyewitness scouts. Matches ground conditions.,59,verified,genuine
BC-150,2026-09-09 17:35,Outpost-Alpha,West Amphitheater,routine_check,"West Amphitheater status unchanged, low peacock sightings.",66,verified,genuine
BC-151,2026-09-09 23:13,Outpost-Zeta,Maintenance Tunnel Entrance,emergency,Urgent: peacock swarm breaching Maintenance Tunnel Entrance perimeter. Need immediate reinforcement.,42,not_checked,genuine
BC-152,2026-09-09 23:34,Outpost-Zeta,Maintenance Tunnel Entrance,emergency,"Repeat: Maintenance Tunnel Entrance perimeter breached, falling back.",40,not_checked,genuine
BC-153,2026-09-10 02:29,New Meridian,Maintenance Tunnel Entrance,all_clear,Maintenance Tunnel Entrance fully secured. Convoys may proceed without escort.,87,disputed,peacock_spoofed
BC-154,2026-09-11 01:14,Mini-Marv-05,Maintenance Tunnel Entrance,situation_report,"Arrived Maintenance Tunnel Entrance late. Damage found consistent with the original emergency calls, not New Meridian's all-clear.",50,verified,genuine
BC-155,2026-09-11 09:17,New Meridian,Hackett Hall Path,all_clear,All clear at Hackett Hall Path. Proceed as normal.,86,disputed,peacock_spoofed
BC-156,2026-09-13 06:23,Outpost-Epsilon,Hackett Hall Path,warning,"Hackett Hall Path hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",50,verified,genuine
BC-157,2026-09-13 14:44,Outpost-Theta,Library Walk,supply_request,"Low on antenna components at Library Walk, requesting shipment.",40,unconfirmed,genuine
BC-158,2026-09-13 23:10,Marv Mail,Reynolds Court,situation_report,"Reynolds Court remains as previously reported, no changes to note.",64,verified,outdated
BC-159,2026-09-14 06:01,Mini-Marv-05,Reynolds Court,situation_report,Marv Mail's Reynolds Court report disputed after fresh scouting revealed changed conditions on the ground.,56,disputed,genuine
BC-160,2026-09-14 11:42,Outpost-Beta,Prescott Court,routine_check,"Prescott Court calm overnight, fence line intact.",61,unconfirmed,genuine
BC-161,2026-09-14 22:58,Outpost-Alpha,CS Building Foyer,routine_check,"CS Building Foyer status unchanged, low peacock sightings.",53,verified,genuine
BC-162,2026-09-15 09:08,Outpost-Epsilon,Greenhouse Row,routine_check,"Greenhouse Row steady, minor debris cleared from main path.",68,unconfirmed,genuine
BC-163,2026-09-15 16:34,New Meridian,Sunken Garden,all_clear,Sunken Garden fully secured. Convoys may proceed without escort.,86,disputed,peacock_spoofed
BC-164,2026-09-17 15:15,Outpost-Beta,Sunken Garden,warning,Convoy ambushed near Sunken Garden despite yesterday's all-clear signal. New Meridian's report was false.,56,verified,genuine
BC-165,2026-09-17 20:26,New Meridian,Hackett Hall Path,all_clear,Hackett Hall Path fully secured. Convoys may proceed without escort.,89,disputed,peacock_spoofed
BC-166,2026-09-19 05:11,Outpost-Alpha,Hackett Hall Path,warning,"Hackett Hall Path hit by peacock swarm overnight, contradicting New Meridian's recent all-clear.",51,verified,genuine
BC-167,2026-09-19 14:31,Marv Mail,Engineering Quad,situation_report,"Engineering Quad unchanged, relying on earlier patrol notes.",66,verified,outdated
BC-168,2026-09-20 01:55,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building remains as previously reported, no changes to note.",72,verified,outdated
BC-169,2026-09-20 06:07,Outpost-Zeta,Admin Building Steps,emergency,Peacocks breaching Admin Building Steps perimeter fence. Requesting immediate backup.,41,not_checked,genuine
BC-170,2026-09-20 06:26,Outpost-Zeta,Admin Building Steps,emergency,"Repeat: Admin Building Steps perimeter breached, falling back.",37,not_checked,genuine
BC-171,2026-09-20 09:11,New Meridian,Admin Building Steps,all_clear,Admin Building Steps fully secured. Convoys may proceed without escort.,94,disputed,peacock_spoofed
BC-172,2026-09-21 06:32,Mini-Marv-04,Admin Building Steps,situation_report,"Investigated Admin Building Steps - damage matches the earlier emergency broadcasts, not New Meridian's all-clear.",52,verified,genuine
BC-173,2026-09-21 17:30,Mini-Marv-02,Old Commerce Building,situation_report,"Verified Old Commerce Building conditions independently, consistent with Outpost-Alpha's broadcast.",55,verified,genuine
BC-174,2026-09-21 22:03,Outpost-Epsilon,Physics Lawn,routine_check,"Physics Lawn status unchanged, low peacock sightings.",66,verified,genuine
BC-175,2026-09-22 02:58,Outpost-Epsilon,Physics Lawn,emergency,Peacock flock breaching Physics Lawn treeline. Requesting backup now.,42,not_checked,genuine
BC-176,2026-09-22 03:11,Outpost-Epsilon,Physics Lawn,emergency,"Repeat: Physics Lawn perimeter breached, falling back.",42,not_checked,genuine
BC-177,2026-09-22 05:53,New Meridian,Physics Lawn,all_clear,All clear at Physics Lawn. Proceed as normal.,93,disputed,peacock_spoofed
